var_name;ref_name;comment
UCD_TOP_UCD;-;
UCD_TTF_MNT;-;
UCD_UCD_COD;-;
ARO_ASU_NAT;-;
ARO_CPL_COD;-;
ARO_ENV_TYP;-;
ARO_FJH_TYP;-;
ARO_FTA_COD;-;
ARO_MIN_TAU;-;
ARO_MOD_MNT;-;
ARO_ORD_NUM;-;
ARO_PRS_NAT;-;
ARO_REM_BSE;-;
ARO_REM_MNT;-;
ARO_REM_PRU;-;
ARO_REM_SGN;-;
ARO_REM_TAU;-;
ARO_REM_TYP;-;
ARO_THE_TAU;-;
INV_ATR_DTD;-;
INV_PEN_CAT;-;
INV_PEN_ETA;-;
ATT_NAT;-;
BEN_RAT_ANO;-;
RAT_IPP_DTE;-;
RAT_IPP_TAU;-;
DDP_COD;-;
ETB_EXE_FIN;-;
ETE_CAT_COD;-;
ETE_ETA_TRF;-;
ETE_GHS_NUM;-;
ETE_IND_TAA;-;
ETE_MCO_COE;-;
ETE_MCO_DDP;-;
ETE_NAT_FSJ;-;
ETE_STJ_COD;-;
ETE_TYP_COD;-;
MDT_COD;-;
MFT_COD;-;
PRS_PPU_SEC;-;
BEN_NIR_ANO;-;
BEN_IDT_ANO;-;
BEN_IDT_TOP;-;
ASS_NIR_ANO;-;
BEN_IDT_MAJ;-;
BEN_NAI_MOI;-;
BEN_TOP_CNS;-;
MAX_TRT_DTD;-;
BEN_DTE_INS;-;
BEN_DTE_MAJ;-;
AR1_ASU_NAT;-;
AR1_REM_BSE;-;
AR1_REM_MNT;-;
AR1_REM_TYP;-;
AR2_ASU_NAT;-;
AR2_REM_BSE;-;
AR2_REM_MNT;-;
AR2_REM_TYP;-;
AR3_ASU_NAT;-;
AR3_REM_BSE;-;
AR3_REM_MNT;-;
AR3_REM_TYP;-;
ASS_PAF_MNT;-;
BEN_CTA_TYP;-;
CAI_AFF_COD;-;
CAI_LIQ_COD;-;
CLE_DCI_JNT;-;
CPM_REM_BSE;-;
CPM_REM_MNT;-;
DRG_AFF_NAT;-;
DRT_ACS_TOP;-;
ETE_DPT_COD;-;
ETP_DPT_COD;-;
EXE_CTX_BEN;-;
EXE_CTX_PFS;-;
EXE_INS_DPT;-;
GRG_AFF_COD;-;
GRG_LIQ_COD;-;
PRE_INS_DPT;-;
PRS_DIS_PRE;-;
PRS_DRA_AME;-;
PSE_ACT_SPE;-;
PSP_ACT_SPE;-;
SLM_AFF_COD;-;
TOT_REM_BSE;-;
TOT_REM_MNT;-;
BIO_SEQ_NUM;-;
CAM_SEQ_NUM;-;
CAM_GRI_TAR;-;
CAM_ACT_QSN;-;
INV_SEQ_NUM;-;
TIP_SEQ_NUM;-;
PHA_SEQ_NUM;-;
PHA_DEC_TOP;-;
PHA_MOD_PRN;-;
PHA_ACT_QSC;-;
PHA_DEC_QSD ;-;
RAT_SEQ_NUM;-;
DTR_SEQ_NUM;-;
TRS_SEQ_NUM;-;
TRS_DTD_DTE;-;
TRS_DTD_AMD;-;
TRS_DTF_DTE;-;
TRS_DTF_AMF;-;
UCD_SEQ_NUM;-;
IMB_ALD_DTD;-;
IMB_ALD_DTF;-;
IMB_ALD_NUM;-;
IMB_ETM_NAT;-;
IMB_MLP_BTR;-;
IMB_MLP_TAB;-;
IMB_SDR_LOP;-;
INS_DTE;-;
MED_MTF_COD;-;
MED_NCL_IDT;-;
UPD_DTE;-;
id_carto;-;
ben_sex_cod;-;
ben_nai_ann;-;
age;-;
cla_age_ct;-;
cla_age_5;-;
old_cod_reg;-;
new_cod_reg;-;
dpt;-;
regime;-;
source;-;
cmu;-;
ben_dcd_dte;-;
dcd_3112;-;
ben_acs_top;-;
ben_aah_top;-;
top_CvIDM_aig;-;
top_CvCoron_chr;-;
sup_CvIDMCor_cat;-;
top_CvAVC_aig;-;
top_CvAVC_seq;-;
sup_CvAVC_cat;-;
top_CvIC_aig;-;
top_CvIC_chr;-;
sup_CvIC_cat;-;
top_CvAOMI_ind;-;
top_CvTrRyC_ind;-;
top_CvValve_ind;-;
top_CvEmbol_aig;-;
top_CvAutre_ind;-;
sup_Cvaig_cat;-;
sup_Cvchr_cat;-;
sup_Cv_cat;-;
top_FAntiHTA_med;-;
sup_FAntiHTA_med_nnexclu;-;
top_FHypoLi_med;-;
sup_FHypoLi_med_nnexclu;-;
sup_FRV_cat;-;
sup_FRV_cat_nnexclu;-;
top_FDiabet_ind;-;
sup_FInsul_ind;-;
sup_FInsulNO_ind;-;
sup_FRVDiab_cat;-;
top_CanSeiF_act;-;
top_CanSeiF_sur;-;
sup_CanSeiF_cat;-;
top_CanColo_act;-;
top_CanColo_sur;-;
sup_CanColo_cat;-;
top_CanPoum_act;-;
top_CanPoum_sur;-;
sup_CanPoum_cat;-;
top_CanPros_act;-;
top_CanPros_sur;-;
sup_CanPros_cat;-;
top_CanAutr_act;-;
top_CanAutr_sur;-;
sup_CanAutr_cat;-;
sup_CanAct_cat;-;
sup_CanSur_cat;-;
sup_Can_cat;-;
top_Psychos_ind;-;
top_PDepNev_ind;-;
sup_PTrBipo_ind;-;
sup_PTrDHum_ind;-;
sup_PTrNevr_ind;-;
top_PRetard_ind;-;
top_PAddict_ind;-;
sup_PAddAlc_ind;-;
sup_PAddTab_ind;-;
sup_PAddCan_ind;-;
sup_PAddAut_ind;-;
top_PTrEnfa_ind;-;
top_PsyAutr_ind;-;
sup_PsyPat_cat;-;
top_PAntiDe_med;-;
sup_PAntiDe_med_nnexclu;-;
top_PNeurol_med;-;
sup_PNeurol_med_nnexclu;-;
top_PAnxiol_med;-;
sup_PAnxiol_med_nnexclu;-;
top_PHypnot_med;-;
sup_PHypnot_med_nnexclu;-;
sup_PsyMed_cat;-;
sup_PsyMed_cat_nnexclu;-;
sup_Psy_cat;-;
top_NDemenc_ind;-;
sup_NDemAlz_ind;-;
sup_NDemAut_ind;-;
top_NParkin_ind;-;
sup_NDemPar_cat;-;
top_NSePlaq_ind;-;
top_NParapl_ind;-;
top_NMyoMya_ind;-;
top_NEpilep_ind;-;
top_NAutres_ind;-;
sup_Neuro_cat;-;
sup_NeuDeg_cat;-;
top_ABPCOIr_ind;-;
sup_ABPCOIr_ind_nnexclu;-;
top_IRCrRCH_ind;-;
top_IRPolyA_ind;-;
top_IRSponA_ind;-;
top_IRautre_ind;-;
sup_Inflam_cat;-;
top_IRMMHer_ind;-;
top_IRMuco_ind;-;
top_IRHemop_ind;-;
sup_IRHemop_ind_exclu;-;
sup_IRTrHemoSev_ind;-;
sup_Rares_cat;-;
top_IRVih_ind;-;
sup_InfRarVIH_cat;-;
top_RDialyse_ind;-;
sup_RHemDia_ind;-;
sup_RDiaPer_ind;-;
top_Rtrans_aig;-;
top_Rtrans_chr;-;
sup_RDiaCou_ind;-;
sup_RIRCT_cat;-;
top_HFoiPan_ind;-;
sup_HFoiPan_ind_nnexclu;-;
sup_HFoi_ind;-;
